Outcome,Term,Coef,SE,t,p,type
bpdiaz_w6.5,female,"0.13 [0.05, 0.2]",0.04,3.39,< 0.001,adjusted
bpdiaz_w6.5,indig,"-0.09 [-0.37, 0.19]",0.14,-0.62,0.53,adjusted
bpdiaz_w6.5,ses_w6,"-0.02 [-0.06, 0.01]",0.02,-1.28,0.20,adjusted
bpdiaz_w6.5,bad_diet,"0.06 [-0.08, 0.21]",0.07,0.84,0.40,adjusted
bpdiaz_w6.5,sexualmaturity_numeric_w6.5,"-0.1 [-0.14, -0.07]",0.02,-5.67,< 0.001,adjusted
bpdiaz_w6.5,accmvpa_w6.5_scaled,"-0.05 [-0.09, -0.01]",0.02,-2.37,0.018,adjusted
bpdiaz_w6.5,accsed_w6.5_scaled,"0.01 [-0.03, 0.05]",0.02,0.41,0.68,adjusted
trigly_w6.5,(Intercept),"1.15 [0.95, 1.35]",0.1,11.23,< 0.001,unadjusted
trigly_w6.5,blup_intercept,"0 [-0.07, 0.06]",0.03,-0.14,0.89,unadjusted
trigly_w6.5,blup_slope,"0.13 [-0.11, 0.37]",0.12,1.06,0.29,unadjusted
trigly_w6.5,female,"0.12 [0.05, 0.19]",0.04,3.21,0.001,unadjusted
trigly_w6.5,indig,"0.12 [-0.23, 0.47]",0.18,0.68,0.49,unadjusted
trigly_w6.5,ses_w6,"-0.06 [-0.09, -0.02]",0.02,-3.17,0.002,unadjusted
trigly_w6.5,bad_diet,"0.11 [-0.02, 0.25]",0.07,1.63,0.10,unadjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.04, 0.03]",0.02,-0.31,0.76,unadjusted
trigly_w6.5,fastingtime_w6.5,"-0.04 [-0.06, -0.01]",0.01,-2.51,0.012,unadjusted
trigly_w6.5,(Intercept),"1.22 [0.99, 1.45]",0.12,10.25,< 0.001,adjusted
trigly_w6.5,blup_intercept,"-0.02 [-0.1, 0.06]",0.04,-0.6,0.55,adjusted
trigly_w6.5,blup_slope,"0.15 [-0.14, 0.45]",0.15,1.01,0.31,adjusted
trigly_w6.5,female,"0.08 [-0.01, 0.17]",0.05,1.84,0.067,adjusted
trigly_w6.5,indig,"-0.06 [-0.5, 0.37]",0.22,-0.29,0.77,adjusted
trigly_w6.5,ses_w6,"-0.08 [-0.12, -0.03]",0.02,-3.55,< 0.001,adjusted
trigly_w6.5,bad_diet,"0.13 [-0.03, 0.29]",0.08,1.64,0.10,adjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.07, 0.02]",0.02,-1.15,0.25,adjusted
