Outcome,Term,Coef,SE,z,p,type
bpdiaz_w6.5,ses_w6,"-0.02 [-0.05, 0.02]",0.02,-1.01,0.31,adjusted
bpdiaz_w6.5,bad_diet,"0.09 [0, 0.18]",0.05,1.89,0.059,adjusted
bpdiaz_w6.5,sexualmaturity_numeric_w6.5,"-0.1 [-0.14, -0.07]",0.02,-5.7,< 0.001,adjusted
bpdiaz_w6.5,accmvpa_w6.5_scaled,"-0.05 [-0.09, -0.01]",0.02,-2.38,0.018,adjusted
bpdiaz_w6.5,accsed_w6.5_scaled,"0.01 [-0.03, 0.05]",0.02,0.43,0.67,adjusted
trigly_w6.5,st_intercept,"-0.01 [-0.08, 0.06]",0.04,-0.34,0.73,unadjusted
trigly_w6.5,st_slope,"0.14 [-0.1, 0.38]",0.12,1.15,0.25,unadjusted
trigly_w6.5,female,"0.11 [0.04, 0.18]",0.04,2.99,0.003,unadjusted
trigly_w6.5,indig,"0.13 [-0.22, 0.48]",0.18,0.75,0.46,unadjusted
trigly_w6.5,ses_w6,"-0.06 [-0.1, -0.03]",0.02,-3.29,0.001,unadjusted
trigly_w6.5,bad_diet,"-0.05 [-0.15, 0.04]",0.05,-1.13,0.26,unadjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.04, 0.03]",0.02,-0.26,0.80,unadjusted
trigly_w6.5,fastingtime_w6.5,"-0.04 [-0.06, -0.01]",0.01,-2.5,0.012,unadjusted
trigly_w6.5,st_intercept,"-0.04 [-0.13, 0.04]",0.04,-1.01,0.31,adjusted
trigly_w6.5,st_slope,"0.2 [-0.15, 0.55]",0.18,1.11,0.27,adjusted
trigly_w6.5,female,"0.07 [-0.02, 0.16]",0.05,1.52,0.13,adjusted
trigly_w6.5,indig,"-0.04 [-0.47, 0.4]",0.22,-0.16,0.87,adjusted
trigly_w6.5,ses_w6,"-0.09 [-0.14, -0.04]",0.02,-3.84,< 0.001,adjusted
trigly_w6.5,bad_diet,"-0.06 [-0.17, 0.05]",0.06,-1.1,0.27,adjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.07, 0.02]",0.02,-1.05,0.30,adjusted
trigly_w6.5,fastingtime_w6.5,"-0.04 [-0.07, -0.01]",0.02,-2.58,0.010,adjusted
trigly_w6.5,accmvpa_w6.5_scaled,"-0.07 [-0.12, -0.02]",0.02,-2.93,0.003,adjusted
trigly_w6.5,accsed_w6.5_scaled,"-0.02 [-0.07, 0.03]",0.02,-0.76,0.45,adjusted
cholesttotal_w6.5,st_intercept,"-0.05 [-0.15, 0.04]",0.05,-1.17,0.24,unadjusted
cholesttotal_w6.5,st_slope,"-0.09 [-0.4, 0.21]",0.16,-0.6,0.55,unadjusted
cholesttotal_w6.5,female,"0.12 [0.02, 0.21]",0.05,2.48,0.013,unadjusted
cholesttotal_w6.5,indig,"0.07 [-0.38, 0.52]",0.23,0.31,0.75,unadjusted
cholesttotal_w6.5,ses_w6,"-0.03 [-0.08, 0.02]",0.02,-1.28,0.20,unadjusted
cholesttotal_w6.5,bad_diet,"-0.09 [-0.21, 0.03]",0.06,-1.4,0.16,unadjusted
cholesttotal_w6.5,sexualmaturity_numeric_w6.5,"-0.12 [-0.16, -0.07]",0.02,-5.12,< 0.001,unadjusted
cholesttotal_w6.5,fastingtime_w6.5,"0 [-0.03, 0.04]",0.02,0.16,0.87,unadjusted
cholesttotal_w6.5,st_intercept,"-0.04 [-0.15, 0.06]",0.06,-0.79,0.43,adjusted
cholesttotal_w6.5,st_slope,"-0.14 [-0.6, 0.32]",0.23,-0.6,0.55,adjusted
cholesttotal_w6.5,female,"0.11 [-0.01, 0.23]",0.06,1.86,0.063,adjusted
cholesttotal_w6.5,indig,"-0.2 [-0.78, 0.37]",0.29,-0.69,0.49,adjusted
cholesttotal_w6.5,ses_w6,"-0.05 [-0.11, 0.01]",0.03,-1.55,0.12,adjusted
cholesttotal_w6.5,bad_diet,"-0.05 [-0.19, 0.09]",0.07,-0.73,0.47,adjusted
cholesttotal_w6.5,sexualmaturity_numeric_w6.5,"-0.14 [-0.19, -0.08]",0.03,-4.78,< 0.001,adjusted
cholesttotal_w6.5,fastingtime_w6.5,"-0.02 [-0.06, 0.02]",0.02,-0.89,0.38,adjusted
cholesttotal_w6.5,accmvpa_w6.5_scaled,"-0.05 [-0.11, 0.02]",0.03,-1.4,0.16,adjusted
