Outcome,Term,Coef,SE,t,p,type
bpsysz_w6.5,accmvpa_w6.5_scaled,"0.01 [-0.05, 0.07]",0.03,0.36,0.72,adjusted
bpsysz_w6.5,accsed_w6.5_scaled,"0.01 [-0.04, 0.07]",0.03,0.47,0.64,adjusted
bpdiaz_w6.5,(Intercept),"0.02 [-0.12, 0.17]",0.07,0.3,0.76,unadjusted
bpdiaz_w6.5,st_latez,"0.04 [0.01, 0.06]",0.01,2.77,0.006,unadjusted
bpdiaz_w6.5,female,"0.15 [0.09, 0.21]",0.03,4.97,< 0.001,unadjusted
bpdiaz_w6.5,indig,"-0.06 [-0.25, 0.14]",0.1,-0.55,0.58,unadjusted
bpdiaz_w6.5,ses_w6,"-0.02 [-0.05, 0.01]",0.01,-1.49,0.14,unadjusted
bpdiaz_w6.5,bad_diet,"0.02 [-0.11, 0.15]",0.07,0.32,0.75,unadjusted
bpdiaz_w6.5,sexualmaturity_numeric_w6.5,"-0.08 [-0.11, -0.05]",0.02,-5.3,< 0.001,unadjusted
bpdiaz_w6.5,(Intercept),"0.05 [-0.12, 0.22]",0.09,0.59,0.55,adjusted
bpdiaz_w6.5,st_latez,"0.02 [-0.02, 0.05]",0.02,0.87,0.38,adjusted
bpdiaz_w6.5,female,"0.13 [0.05, 0.2]",0.04,3.27,0.001,adjusted
bpdiaz_w6.5,indig,"-0.07 [-0.35, 0.21]",0.14,-0.52,0.60,adjusted
bpdiaz_w6.5,ses_w6,"-0.02 [-0.06, 0.01]",0.02,-1.36,0.17,adjusted
bpdiaz_w6.5,bad_diet,"0.05 [-0.09, 0.2]",0.08,0.71,0.48,adjusted
bpdiaz_w6.5,sexualmaturity_numeric_w6.5,"-0.1 [-0.14, -0.06]",0.02,-5.29,< 0.001,adjusted
bpdiaz_w6.5,accmvpa_w6.5_scaled,"-0.04 [-0.09, 0]",0.02,-1.88,0.060,adjusted
bpdiaz_w6.5,accsed_w6.5_scaled,"0.01 [-0.03, 0.06]",0.02,0.6,0.55,adjusted
trigly_w6.5,(Intercept),"1.2 [1, 1.39]",0.1,11.97,< 0.001,unadjusted
trigly_w6.5,st_latez,"0.01 [-0.02, 0.05]",0.02,0.86,0.39,unadjusted
trigly_w6.5,female,"0.13 [0.06, 0.2]",0.04,3.51,< 0.001,unadjusted
trigly_w6.5,indig,"0.11 [-0.24, 0.46]",0.18,0.64,0.53,unadjusted
trigly_w6.5,ses_w6,"-0.05 [-0.09, -0.01]",0.02,-2.73,0.006,unadjusted
trigly_w6.5,bad_diet,"0.12 [-0.02, 0.26]",0.07,1.71,0.088,unadjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.04, 0.03]",0.02,-0.45,0.65,unadjusted
trigly_w6.5,fastingtime_w6.5,"-0.04 [-0.07, -0.01]",0.01,-2.9,0.004,unadjusted
trigly_w6.5,(Intercept),"1.27 [1.04, 1.5]",0.12,10.76,< 0.001,adjusted
trigly_w6.5,st_latez,"0.01 [-0.03, 0.05]",0.02,0.34,0.74,adjusted
trigly_w6.5,female,"0.09 [0, 0.18]",0.05,2,0.046,adjusted
trigly_w6.5,indig,"-0.08 [-0.52, 0.36]",0.22,-0.37,0.71,adjusted
trigly_w6.5,ses_w6,"-0.07 [-0.12, -0.03]",0.02,-3.27,0.001,adjusted
trigly_w6.5,bad_diet,"0.15 [-0.01, 0.31]",0.08,1.85,0.064,adjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"-0.03 [-0.07, 0.02]",0.02,-1.14,0.26,adjusted
trigly_w6.5,fastingtime_w6.5,"-0.05 [-0.08, -0.02]",0.02,-2.91,0.004,adjusted
trigly_w6.5,accmvpa_w6.5_scaled,"-0.08 [-0.13, -0.03]",0.03,-3.23,0.001,adjusted
trigly_w6.5,accsed_w6.5_scaled,"-0.03 [-0.08, 0.02]",0.03,-1.31,0.19,adjusted
cholesttotal_w6.5,(Intercept),"4.33 [4.08, 4.58]",0.13,33.89,< 0.001,unadjusted
